City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Saldanha,ZA,-33.0117,17.9442,57.27,79,0,14.2,clear sky
314,Gornopravdinsk,RU,60.05,69.9,31.53,92,30,4.7,scattered clouds
315,Gorontalo,ID,0.5412,123.0595,87.44,65,6,1.48,clear sky
316,Floro,NO,61.5996,5.0328,44.96,87,66,1.14,broken clouds
317,El Paujil,CO,1.5701,-75.3286,71.71,97,100,2.77,moderate rain
318,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.72,93,100,2.35,overcast clouds
319,Gamba,GA,-2.65,10.0,77.18,90,100,3.76,overcast clouds
320,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,74.32,95,97,2.82,overcast clouds
321,Edea,CM,3.8,10.1333,73.02,96,99,2.15,light rain
322,Pisco,PE,-13.7,-76.2167,69.03,77,0,6.91,clear sky
323,Port Elizabeth,ZA,-33.918,25.5701,57.31,71,100,8.01,overcast clouds
324,Tianpeng,CN,30.9866,103.9393,69.98,63,100,1.28,overcast clouds
325,Maniitsoq,GL,65.4167,-52.9,26.92,90,100,6.58,overcast clouds
326,Dubovka,RU,49.0583,44.829,52.75,72,99,7.4,light rain
327,Laguna,US,38.421,-121.4238,82.62,22,0,9.22,clear sky
328,Natal,BR,-5.795,-35.2094,77.65,94,40,3.44,scattered clouds
329,Bridlington,GB,54.0831,-0.1919,44.15,84,6,14.36,clear sky
330,Elizabeth City,US,36.2946,-76.2511,75.99,70,0,6.91,clear sky
331,Padang,ID,-0.9492,100.3543,75.25,80,100,2.57,overcast clouds
332,Marsa Matruh,EG,31.3525,27.2453,62.1,83,0,8.43,clear sky
333,Ahuimanu,US,21.4447,-157.8378,83.91,65,75,20.71,broken clouds
334,Fort-Shevchenko,KZ,44.5086,50.263,58.14,56,10,10.56,clear sky
335,Diamantina,BR,-18.2494,-43.6003,64.4,74,8,5.64,clear sky
336,Poso,ID,-1.3959,120.7524,83.21,75,49,2.15,scattered clouds
337,Verkhnyaya Inta,RU,65.9811,60.3094,20.34,97,80,6.35,broken clouds
338,Nurota,UZ,40.5614,65.6886,53.82,67,0,5.26,clear sky
339,San Cristobal,VE,7.7669,-72.225,69.98,98,89,2.04,overcast clouds
340,Lannion,FR,48.75,-3.4167,50.68,93,13,3.44,mist
341,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.71,78,100,15.21,overcast clouds
342,Yenagoa,NG,4.9247,6.2642,74.17,91,100,1.52,overcast clouds
343,Carutapera,BR,-1.195,-46.02,75.15,92,1,5.91,clear sky
344,Grindavik,IS,63.8424,-22.4338,43.27,93,100,11.5,overcast clouds
345,Mandera,KE,3.9366,41.867,82.99,61,100,13.85,overcast clouds
